,ts_code,symbol,name,area,industry,fullname,enname,market,exchange,curr_type,list_status,list_date,delist_date,is_hs
982,002521.SZ,002521,齐峰新材,山东,造纸,齐峰新材料股份有限公司,"Qifeng New Material Co.,Ltd.",中小板,SZSE,CNY,L,20101210,,N
983,002522.SZ,002522,浙江众成,浙江,塑料,浙江众成包装材料股份有限公司,"Zhejiang Zhongcheng Packing Material Co., Ltd",中小板,SZSE,CNY,L,20101210,,S
984,002523.SZ,002523,天桥起重,湖南,工程机械,株洲天桥起重机股份有限公司,"Zhuzhou Tianqiao Crane Co., Ltd.",中小板,SZSE,CNY,L,20101210,,N
985,002524.SZ,002524,光正集团,新疆,供气供热,光正集团股份有限公司,"Guangzheng Group Co.,Ltd.",中小板,SZSE,CNY,L,20101217,,N
986,002526.SZ,002526,山东矿机,山东,工程机械,山东矿机集团股份有限公司,"Shandong Mining Machinery Group Co., Ltd.",中小板,SZSE,CNY,L,20101217,,N
987,002527.SZ,002527,新时达,上海,电器仪表,上海新时达电气股份有限公司,Shanghai STEP Electric Corporation,中小板,SZSE,CNY,L,20101224,,N
988,002528.SZ,002528,英飞拓,深圳,电脑设备,深圳英飞拓科技股份有限公司,Shenzhen Infinova Limited,中小板,SZSE,CNY,L,20101224,,N
989,002529.SZ,002529,海源复材,福建,专用机械,福建海源复合材料科技股份有限公司,"Fujian Haiyuan Composites Technology Co.,Ltd.",中小板,SZSE,CNY,L,20101224,,N
990,002530.SZ,002530,金财互联,江苏,专用机械,金财互联控股股份有限公司,JC Finance & Tax Interconnect Holdings Ltd.,中小板,SZSE,CNY,L,20101231,,S
991,002531.SZ,002531,天顺风能,江苏,电气设备,天顺风能(苏州)股份有限公司,"Titan Wind Energy (Suzhou) Co., Ltd",中小板,SZSE,CNY,L,20101231,,S
992,002532.SZ,002532,新界泵业,浙江,农用机械,新界泵业集团股份有限公司,"Shimge Pump Industry Group Co.,Ltd.",中小板,SZSE,CNY,L,20101231,,N
993,002533.SZ,002533,金杯电工,湖南,电气设备,金杯电工股份有限公司,"Gold Cup Electric Apparatus Co.,Ltd.",中小板,SZSE,CNY,L,20101231,,N
994,002534.SZ,002534,杭锅股份,浙江,专用机械,杭州锅炉集团股份有限公司,"Hangzhou Boiler Group Co.,Ltd.",中小板,SZSE,CNY,L,20110110,,N
995,002535.SZ,002535,林州重机,河南,工程机械,林州重机集团股份有限公司,"Linzhou Heavy Machinery Group Co., Ltd.",中小板,SZSE,CNY,L,20110111,,N
996,002536.SZ,002536,西泵股份,河南,汽车配件,河南省西峡汽车水泵股份有限公司,"Henan Province Xixia Automobile Water Pump Co.,Ltd.",中小板,SZSE,CNY,L,20110111,,N
997,002537.SZ,002537,海联金汇,山东,汽车整车,海联金汇科技股份有限公司,"Hyunion Holding Co.,Ltd.",中小板,SZSE,CNY,L,20110110,,S
998,002538.SZ,002538,司尔特,安徽,农药化肥,安徽省司尔特肥业股份有限公司,"Anhui Sierte Fertilizer Industry Ltd.,Company",中小板,SZSE,CNY,L,20110118,,N
999,002539.SZ,002539,云图控股,四川,农药化肥,成都云图控股股份有限公司,"Chengdu Wintrue Holding Co., Ltd.",中小板,SZSE,CNY,L,20110118,,N
1000,002540.SZ,002540,亚太科技,江苏,铝,江苏亚太轻合金科技股份有限公司,"Jiangsu Asia-Pacific Light Alloy Technology Co., Ltd.",中小板,SZSE,CNY,L,20110118,,S
1001,002541.SZ,002541,鸿路钢构,安徽,钢加工,安徽鸿路钢结构(集团)股份有限公司,"Anhui Honglu Steel Construction(Group) Co.,Ltd",中小板,SZSE,CNY,L,20110118,,N
1002,002542.SZ,002542,中化岩土,北京,建筑施工,中化岩土集团股份有限公司,"China Zhonghua Geotechnical Engineering Group Co., Ltd.",中小板,SZSE,CNY,L,20110128,,S
1003,002543.SZ,002543,万和电气,广东,家用电器,广东万和新电气股份有限公司,"Guangdong Vanward New Electric Co.,Ltd",中小板,SZSE,CNY,L,20110128,,S
1004,002544.SZ,002544,杰赛科技,广东,软件服务,广州杰赛科技股份有限公司,"Gci Science & Technology Co., Ltd.",中小板,SZSE,CNY,L,20110128,,S
1005,002545.SZ,002545,东方铁塔,山东,钢加工,青岛东方铁塔股份有限公司,"Qingdao East Steel Tower Stock Co.,Ltd",中小板,SZSE,CNY,L,20110211,,S
1006,002546.SZ,002546,新联电子,江苏,电气设备,南京新联电子股份有限公司,"Nanjing Xinlian Electronics Co., Ltd.",中小板,SZSE,CNY,L,20110211,,N
1007,002547.SZ,002547,春兴精工,江苏,通信设备,苏州春兴精工股份有限公司,"Suzhou Chunxing Precision Mechanical Co.,Ltd.",中小板,SZSE,CNY,L,20110218,,S
1008,002548.SZ,002548,金新农,深圳,饲料,深圳市金新农科技股份有限公司,"Shenzhen Kingsino Technology Co.,Ltd.",中小板,SZSE,CNY,L,20110218,,N
1009,002549.SZ,002549,凯美特气,湖南,环境保护,湖南凯美特气体股份有限公司,"Hunan Kaimeite Gases Co., Ltd.",中小板,SZSE,CNY,L,20110218,,N
1010,002550.SZ,002550,千红制药,江苏,生物制药,常州千红生化制药股份有限公司,"Changzhou Qianhong Biopharma Co.,Ltd",中小板,SZSE,CNY,L,20110218,,S
1011,002551.SZ,002551,尚荣医疗,深圳,医疗保健,深圳市尚荣医疗股份有限公司,"Shenzhen Glory Medical Co.,Ltd.",中小板,SZSE,CNY,L,20110225,,N
1012,002552.SZ,002552,宝鼎科技,浙江,机械基件,宝鼎科技股份有限公司,"Baoding Technology Co.,Ltd.",中小板,SZSE,CNY,L,20110225,,N
1013,002553.SZ,002553,南方轴承,江苏,汽车配件,江苏南方轴承股份有限公司,"Jiangsu Nanfang Bearing Co.,Ltd.",中小板,SZSE,CNY,L,20110225,,N
